farm_id,region,state,agro_zone,crop_type,crop_variety,soil_type,farm_size_ha,soil_pH,soil_nitrogen,soil_phosphorus,soil_potassium,rainfall_mm,temperature_C,fertilizer_type,fertilizer_amount_kg_ha,irrigation_type,pest_type,pest_severity,rainfall_variability,temperature_stress,extreme_weather,labor_input,soil_degradation,yield_kg_ha
FARM_000042,Southsouth,Akwa Ibom,Humid Forest,Yam,D. rotundata,Lateritic,0.5,5.1,50.0,8.0,200.0,1619.4,30.2,Urea,144.2,Surface,Fall Armyworm,Moderate,Erratic,Moderate,Drought,Medium,Moderate,8432.0
FARM_000043,Southwest,Oyo,Derived Savanna,Maize,Local White,Clayey,1.3,7.5,34.7,18.5,162.5,790.4,25.7,NPK,200.0,Surface,Fall Armyworm,Low,Reduced,Moderate,Drought,Low,Moderate,1675.0
FARM_000044,Northeast,Bauchi,Sudan Savanna,Sorghum,Local Kaura,Sandy,1.3,5.1,22.9,5.0,60.7,600.0,31.6,Organic,120.0,Surface,Stem Borers,High,Normal,Moderate,Drought,Low,Moderate,1840.0
FARM_000045,Southeast,Imo,Humid Forest,Cassava,TMS 30572,Clayey,4.7,7.2,39.5,22.4,55.8,1562.6,30.2,NPK,66.7,Surface,Fall Armyworm,High,Erratic,Moderate,Flood,Low,Moderate,6387.0
FARM_000046,Northcentral,Plateau,Northern Guinea Savanna,Pepper,Cayenne,Loamy,0.5,7.0,10.0,8.5,149.6,1414.2,30.5,Organic,160.9,Drip,Aphids,Moderate,Normal,Moderate,Drought,Medium,Moderate,8520.0
FARM_000047,Southeast,Abia,Humid Forest,Yam,D. alata,Lateritic,1.2,7.5,45.5,27.6,159.6,1487.5,28.4,NPK,16.6,Surface,Whiteflies,Moderate,Normal,Moderate,Flood,Medium,Moderate,4863.0
FARM_000048,Northcentral,Benue,Northern Guinea Savanna,Rice,FARO 44,Clayey,2.4,7.1,18.9,9.5,97.0,600.0,30.2,Urea,165.2,Surface,Fall Armyworm,High,Erratic,Moderate,Drought,Medium,Moderate,5389.0
FARM_000049,Northcentral,Plateau,Northern Guinea Savanna,Yam,D. rotundata,Clayey,1.1,6.9,12.8,16.3,88.9,600.0,22.0,NPK,143.8,Surface,Grasshoppers,High,Normal,Moderate,Flood,Medium,Moderate,3938.0
FARM_000050,Southwest,Ondo,Humid Forest,Onions,Violet de Galmi,Loamy,1.2,6.6,41.9,19.5,50.0,735.6,28.4,NPK,0.0,Surface,Stem Borers,Moderate,Normal,Moderate,Drought,Medium,Moderate,18416.0
FARM_000051,Northeast,Bauchi,Sudan Savanna,Sorghum,SK5912,Sandy,2.4,6.4,21.4,6.5,73.6,1921.2,28.3,NPK,58.3,Surface,Locusts,Moderate,Normal,High,Drought,Medium,Moderate,691.0
FARM_000052,Northwest,Kaduna,Sudan Savanna,Maize,TZL Comp,Sandy,0.8,6.1,30.5,26.4,70.0,1478.1,26.2,Urea,133.3,Surface,Thrips,High,Normal,Moderate,Drought,Low,Severe,1850.0
FARM_000053,Northeast,Adamawa,Sudan Savanna,Pepper,Nsukka Yellow,Sandy,4.2,5.6,43.4,30.0,121.6,1220.9,24.6,NPK,57.6,Sprinkler,Aphids,Low,Erratic,Moderate,Drought,Low,Moderate,3596.0
FARM_000054,Northwest,Zamfara,Sudan Savanna,Maize,TZL Comp,Loamy,0.7,6.7,40.6,14.9,104.3,644.9,29.0,Organic,55.4,Surface,Stem Borers,Moderate,Erratic,Moderate,Drought,Low,Moderate,1414.0
FARM_000055,Northcentral,Plateau,Northern Guinea Savanna,Rice,FARO 44,Loamy,1.1,6.5,15.7,5.0,50.8,1330.9,26.3,Urea,90.3,Drip,Fall Armyworm,High,Erratic,Moderate,Drought,Low,Moderate,1370.0
FARM_000056,Northeast,Borno,Sahel Savanna,Onions,Kano Red,Sandy,1.1,6.7,40.9,13.4,54.2,1237.0,30.0,NPK,51.7,Surface,Thrips,Moderate,Reduced,Moderate,Drought,Low,Moderate,4335.0
FARM_000057,Southwest,Osun,Humid Forest,Cassava,Local Oko-Iyawo,Lateritic,5.0,6.6,20.8,30.0,143.1,1672.9,23.1,Organic,0.0,Surface,Whiteflies,Low,Normal,Moderate,Drought,Medium,Moderate,11075.0
FARM_000058,Southwest,Ekiti,Humid Forest,Maize,Local White,Loamy,1.1,6.7,29.2,16.9,74.1,600.0,23.9,Urea,188.3,Surface,Fall Armyworm,Moderate,Erratic,Moderate,Flood,Low,Moderate,795.0
FARM_000059,Southwest,Ondo,Humid Forest,Cassava,Local Oko-Iyawo,Lateritic,0.7,7.3,30.1,19.3,145.5,1768.5,23.2,NPK,77.5,Surface,Fall Armyworm,Moderate,Normal,Moderate,Flood,Low,Moderate,5592.0
FARM_000060,Southeast,Ebonyi,Humid Forest,Yam,D. rotundata,Clayey,3.9,5.4,10.0,23.4,71.3,837.8,25.7,NPK,46.5,Surface,Fall Armyworm,Moderate,Erratic,Moderate,Drought,Medium,Moderate,8540.0
FARM_000061,Southsouth,Delta,Humid Forest,Yam,TDr 95/19177,Loamy,0.6,5.7,36.6,25.3,100.2,1556.4,28.7,Urea,28.5,Surface,Tomato Leaf Miner,Low,Normal,Moderate,Drought,Medium,Moderate,5005.0
FARM_000064,Southsouth,Akwa Ibom,Humid Forest,Beans,Local Kanannado,Loamy,3.6,5.0,24.3,30.0,200.0,1693.4,27.9,NPK,15.5,Surface,Fall Armyworm,Moderate,Erratic,Moderate,Flood,Medium,Moderate,789.0
FARM_000065,Southeast,Abia,Humid Forest,Yam,D. alata,Lateritic,1.2,6.8,22.7,23.7,75.8,1453.7,30.6,NPK,64.3,Surface,Fall Armyworm,Low,Normal,Moderate,Drought,Medium,Moderate,5746.0
FARM_000067,Southwest,Lagos,Humid Forest,Yam,D. alata,Lateritic,2.3,5.8,43.6,27.2,69.0,897.8,28.5,Urea,70.9,Surface,Thrips,Low,Erratic,Moderate,Drought,High,Moderate,5448.0
FARM_000068,Northwest,Sokoto,Sudan Savanna,Beans,Local Kanannado,Clayey,0.7,7.2,35.4,10.5,186.3,937.6,31.2,NPK,193.3,Surface,Pod Borers,Moderate,Normal,High,Drought,Medium,Moderate,500.0
FARM_000069,Southwest,Oyo,Derived Savanna,Maize,Local White,Sandy,1.3,5.0,15.4,19.3,143.6,1706.3,31.6,NPK,12.7,Surface,Tomato Leaf Miner,Low,Normal,Moderate,Drought,Medium,Moderate,1985.0
FARM_000070,Northeast,Taraba,Northern Guinea Savanna,Beans,Local Drum,Sandy,0.5,6.4,25.4,9.7,84.1,1515.9,27.9,Urea,57.7,Surface,Fall Armyworm,High,Normal,Moderate,Drought,Low,Moderate,590.0
FARM_000071,Northwest,Kebbi,Sudan Savanna,Onions,Kano Red,Sandy,1.1,7.3,15.0,24.4,89.0,683.0,27.6,NPK,130.0,Surface,Stem Borers,Low,Reduced,High,Drought,Medium,Moderate,5354.0
FARM_000072,Southwest,Ekiti,Humid Forest,Cassava,Local Oko-Iyawo,Lateritic,9.5,6.6,48.2,5.9,165.0,1109.9,28.3,Urea,126.3,Surface,Fall Armyworm,Low,Erratic,Moderate,Flood,High,Moderate,7652.0
FARM_000073,Southwest,Osun,Humid Forest,Cassava,TMS 30572,Lateritic,3.3,6.8,39.6,26.9,110.0,1171.4,23.5,NPK,115.2,Surface,Whiteflies,High,Erratic,Moderate,Flood,Medium,Moderate,6194.0
FARM_000074,Northwest,Zamfara,Sudan Savanna,Beans,Local Drum,Loamy,2.6,7.4,11.8,11.4,102.2,600.0,27.5,Organic,88.7,Surface,Fall Armyworm,Low,Reduced,Moderate,Drought,Low,Severe,600.0
FARM_000075,Northwest,Sokoto,Sudan Savanna,Beans,Local Drum,Sandy,0.8,5.5,28.1,23.5,127.1,1057.8,23.4,Organic,129.7,Surface,Fall Armyworm,High,Normal,Moderate,Drought,Low,Moderate,787.0
FARM_000077,Northwest,Sokoto,Sudan Savanna,Beans,IT89KD-288,Sandy,2.5,6.1,28.8,17.3,105.0,856.1,22.0,Urea,36.0,Sprinkler,Fall Armyworm,Moderate,Erratic,Moderate,Drought,Low,Moderate,1704.0
FARM_000078,Southwest,Ekiti,Humid Forest,Rice,FARO 44,Lateritic,5.1,6.0,31.9,9.7,186.1,1616.0,25.0,NPK,49.4,Surface,Stem Borers,Low,Erratic,Moderate,Drought,Low,Moderate,1020.0
FARM_000080,Southwest,Ondo,Humid Forest,Yam,TDr 95/19177,Clayey,0.5,6.1,35.1,15.7,94.0,805.3,26.6,NPK,34.5,Surface,Thrips,Low,Erratic,Moderate,Flood,Low,Moderate,6575.0
FARM_000081,Northwest,Zamfara,Sudan Savanna,Beans,Local Kanannado,Sandy,0.5,6.9,50.0,27.0,80.6,1705.5,30.3,NPK,150.2,Surface,Aphids,Low,Normal,Moderate,Drought,Medium,Moderate,1568.0
FARM_000083,Southeast,Enugu,Humid Forest,Beans,IT89KD-288,Lateritic,0.5,5.9,10.0,7.0,199.5,1830.8,29.2,Urea,72.3,Surface,Aphids,Moderate,Erratic,Moderate,Drought,High,Moderate,1395.0
FARM_000084,Southwest,Ogun,Humid Forest,Cassava,TMS 30572,Lateritic,0.5,5.8,49.3,17.2,125.6,1667.1,27.1,NPK,67.9,Surface,Aphids,Moderate,Normal,Moderate,Drought,Low,Severe,6119.0
FARM_000086,Southeast,Anambra,Humid Forest,Rice,FARO 44,Loamy,6.1,7.2,43.0,7.1,172.2,620.4,23.3,NPK,23.2,Surface,Cassava Mealybug,Low,Reduced,Moderate,Drought,Medium,Moderate,1928.0
FARM_000087,Northwest,Kaduna,Sudan Savanna,Sorghum,SK5912,Clayey,3.3,5.8,34.8,19.5,197.3,957.0,30.0,Urea,37.0,Surface,Stem Borers,High,Erratic,Moderate,Drought,Medium,Moderate,899.0
FARM_000088,Northcentral,FCT,Northern Guinea Savanna,Yam,D. rotundata,Sandy,1.6,5.6,38.3,8.0,186.1,899.6,24.0,NPK,118.6,Surface,Aphids,Low,Reduced,Moderate,Drought,Medium,Moderate,4305.0
FARM_000089,Northwest,Zamfara,Sudan Savanna,Maize,TZL Comp,Lateritic,4.2,6.6,34.0,19.4,186.2,2000.0,22.0,NPK,79.4,Surface,Stem Borers,Low,Erratic,Moderate,Flood,Medium,Severe,1993.0
FARM_000090,Southsouth,Bayelsa,Humid Forest,Maize,Local White,Lateritic,3.6,5.9,17.1,7.5,160.8,1237.3,29.9,NPK,163.9,Drip,Fall Armyworm,Moderate,Erratic,Moderate,Drought,Medium,Moderate,2019.0
FARM_000091,Southwest,Lagos,Humid Forest,Cassava,Local Oko-Iyawo,Loamy,0.5,7.1,19.1,13.8,163.5,958.9,23.2,NPK,0.0,Surface,Whiteflies,Low,Normal,Moderate,Drought,High,Moderate,15000.0
FARM_000092,Northwest,Kano,Sudan Savanna,Tomato,Local Jos,Sandy,0.5,6.0,33.1,22.4,185.2,642.4,23.6,NPK,173.8,Surface,Aphids,Moderate,Reduced,Moderate,Drought,High,Moderate,10975.0
FARM_000093,Northwest,Kaduna,Sudan Savanna,Maize,Local Yellow,Sandy,1.1,5.0,33.9,18.0,200.0,1759.1,24.5,Urea,3.5,Surface,Millet Head Miner,Low,Erratic,Moderate,Drought,Low,Moderate,2549.0
FARM_000094,Northcentral,Plateau,Northern Guinea Savanna,Pepper,Nsukka Yellow,Loamy,0.6,5.6,50.0,6.2,198.8,1441.4,30.2,Organic,106.3,Surface,Aphids,Low,Normal,Moderate,Drought,Medium,Moderate,4867.0
FARM_000095,Northwest,Katsina,Sudan Savanna,Onions,Kano Red,Sandy,0.6,7.5,30.5,13.3,109.4,2000.0,28.9,Urea,167.9,Surface,Aphids,Low,Erratic,Moderate,Drought,Low,Moderate,9080.0
FARM_000096,Southsouth,Cross River,Humid Forest,Cassava,Local Odongbo,Lateritic,0.6,5.7,19.9,24.4,181.8,1356.4,27.7,Organic,129.5,Surface,Whiteflies,Low,Normal,Moderate,Flood,High,Moderate,9840.0
FARM_000098,Southsouth,Edo,Humid Forest,Yam,D. rotundata,Lateritic,1.3,6.9,46.0,28.7,159.9,600.0,28.9,Urea,112.6,Surface,Tomato Leaf Miner,High,Normal,Moderate,Drought,Low,Moderate,4322.0
FARM_000099,Southwest,Osun,Humid Forest,Yam,D. rotundata,Loamy,0.9,6.8,47.4,25.0,176.2,1331.7,30.8,NPK,148.6,Surface,Fall Armyworm,High,Normal,Moderate,Flood,Medium,Severe,4934.0
FARM_000100,Southwest,Ogun,Humid Forest,Yam,D. alata,Sandy,0.7,5.9,38.0,24.0,177.7,1123.4,28.1,NPK,117.1,Surface,Fall Armyworm,Moderate,Normal,Moderate,Flood,Low,Moderate,5477.0
FARM_000101,Southwest,Ondo,Humid Forest,Beans,Local Kanannado,Lateritic,1.1,5.9,31.1,16.3,163.0,2000.0,23.4,Urea,110.8,Surface,Aphids,High,Erratic,Moderate,Drought,Low,Moderate,1180.0
FARM_000102,Northcentral,Nasarawa,Northern Guinea Savanna,Maize,TZL Comp,Loamy,1.3,7.5,47.9,13.1,180.6,1683.6,28.0,NPK,20.2,Surface,Aphids,Low,Erratic,High,Flood,Medium,Moderate,2379.0
FARM_000103,Southeast,Enugu,Humid Forest,Onions,Violet de Galmi,Clayey,2.4,5.0,20.8,7.3,100.8,2000.0,28.8,Urea,128.9,Surface,Aphids,Low,Normal,Moderate,Drought,Medium,Moderate,25000.0
FARM_000104,Northcentral,Nasarawa,Northern Guinea Savanna,Maize,TZL Comp,Lateritic,0.5,6.2,24.7,21.0,135.3,1494.7,22.9,NPK,164.1,Surface,Fall Armyworm,Low,Normal,Moderate,Drought,Medium,Moderate,2266.0
FARM_000106,Southeast,Abia,Humid Forest,Tomato,Local Jos,Lateritic,1.1,5.1,10.0,12.3,106.4,1005.7,27.9,NPK,41.6,Surface,Tomato Leaf Miner,High,Normal,Moderate,Flood,Low,Moderate,5991.0
FARM_000107,Southsouth,Rivers,Humid Forest,Rice,FARO 44,Lateritic,0.7,6.3,36.0,5.1,184.3,1354.3,29.6,NPK,39.8,Drip,Whiteflies,Low,Erratic,Moderate,Drought,Low,Moderate,4930.0
FARM_000108,Northwest,Kaduna,Sudan Savanna,Onions,Kano Red,Sandy,1.3,6.9,21.0,14.5,177.3,1683.4,29.0,Urea,112.4,Surface,Aphids,Low,Normal,Moderate,Drought,Low,Moderate,10294.0
FARM_000109,Southeast,Enugu,Humid Forest,Cassava,Local Odongbo,Lateritic,0.5,6.2,21.0,5.0,137.5,2000.0,29.7,NPK,157.8,Surface,Fall Armyworm,High,Erratic,High,Drought,Medium,Severe,5531.0
FARM_000110,Southwest,Ondo,Humid Forest,Cassava,Local Odongbo,Clayey,1.4,7.3,22.5,18.6,167.8,1500.0,28.2,Urea,81.4,Surface,Whiteflies,Moderate,Reduced,Moderate,Flood,Low,Moderate,5203.0
FARM_000111,Southeast,Ebonyi,Humid Forest,Cassava,Local Odongbo,Lateritic,0.6,6.9,24.7,5.1,74.2,1356.2,31.0,Urea,200.0,Surface,Cassava Mealybug,Moderate,Normal,Moderate,Drought,Medium,Moderate,10800.0
FARM_000112,Southwest,Oyo,Derived Savanna,Rice,FARO 52,Sandy,2.0,6.7,10.8,29.9,117.0,847.5,22.3,Urea,45.9,Surface,Fall Armyworm,Moderate,Normal,Moderate,Drought,Medium,Moderate,5257.0
FARM_000114,Northwest,Jigawa,Sudan Savanna,Sorghum,Local Farafara,Clayey,1.6,6.8,26.8,13.8,76.9,971.1,22.0,NPK,83.5,Surface,Fall Armyworm,High,Reduced,Moderate,Drought,Medium,Moderate,512.0
FARM_000115,Northcentral,Benue,Northern Guinea Savanna,Onions,Kano Red,Sandy,4.3,7.4,10.0,7.8,111.7,1056.9,24.3,NPK,119.5,Surface,Aphids,Low,Normal,Moderate,Drought,Low,Moderate,11425.0
FARM_000116,Northwest,Katsina,Sudan Savanna,Rice,FARO 52,Lateritic,0.5,6.8,41.0,30.0,120.1,1335.6,26.9,NPK,15.1,Surface,Locusts,Moderate,Reduced,Moderate,Drought,Low,Severe,1824.0
FARM_000117,Northwest,Zamfara,Sudan Savanna,Maize,TZL Comp,Sandy,2.3,5.9,13.0,22.7,86.0,865.2,25.4,NPK,67.3,Drip,Locusts,Low,Erratic,Moderate,Drought,Low,Severe,2051.0
FARM_000118,Southwest,Osun,Humid Forest,Maize,Local White,Lateritic,4.3,6.0,14.2,26.8,146.7,1273.6,24.2,NPK,149.5,Surface,Fall Armyworm,Moderate,Erratic,Moderate,Drought,Low,Moderate,1782.0
FARM_000119,Northwest,Kebbi,Sudan Savanna,Onions,Violet de Galmi,Sandy,1.7,5.7,37.1,12.8,159.2,655.0,25.1,Organic,139.5,Surface,Aphids,Low,Erratic,Moderate,Drought,Medium,Moderate,18887.0
FARM_000120,Northcentral,Kogi,Derived Savanna,Cassava,Local Odongbo,Clayey,1.2,7.2,10.0,6.9,200.0,1857.2,27.4,NPK,42.2,Surface,Fall Armyworm,Low,Normal,Moderate,Drought,Low,Moderate,8136.0
FARM_000121,Northwest,Sokoto,Sudan Savanna,Tomato,Roma VF,Sandy,1.6,5.8,46.8,14.5,165.3,656.7,29.8,NPK,141.8,Surface,Aphids,Moderate,Erratic,Moderate,Drought,Low,Moderate,8401.0
FARM_000122,Northwest,Kebbi,Sudan Savanna,Maize,TZL Comp,Sandy,0.5,6.7,40.7,29.9,81.8,1976.2,22.7,Urea,70.4,Drip,Locusts,Low,Erratic,Moderate,Drought,Low,Moderate,3019.0
FARM_000123,Southeast,Abia,Humid Forest,Beans,Local Kanannado,Lateritic,0.5,5.9,13.1,12.0,161.0,1500.0,23.7,Urea,86.5,Drip,Fall Armyworm,High,Reduced,Moderate,Drought,Medium,Moderate,599.0
FARM_000124,Southwest,Ekiti,Humid Forest,Yam,TDr 95/19177,Loamy,0.6,6.7,27.4,19.3,200.0,1079.9,27.4,NPK,76.7,Surface,Whiteflies,Moderate,Erratic,High,Drought,Medium,Moderate,8066.0
FARM_000125,Southeast,Imo,Humid Forest,Beans,Local Drum,Sandy,6.6,7.2,48.3,15.1,159.9,717.2,25.8,NPK,167.6,Surface,Aphids,Low,Erratic,Moderate,Drought,Medium,Moderate,1418.0
FARM_000126,Southsouth,Bayelsa,Humid Forest,Yam,TDr 95/19177,Lateritic,0.7,6.4,39.6,9.2,127.6,709.0,31.4,NPK,81.8,Surface,Cassava Mealybug,High,Normal,Moderate,Flood,High,Moderate,4708.0
FARM_000127,Northwest,Kebbi,Sudan Savanna,Beans,IT89KD-288,Loamy,1.4,6.3,33.6,17.8,160.7,600.0,27.4,NPK,73.2,Surface,Fall Armyworm,Low,Reduced,Moderate,Drought,Low,Moderate,1609.0
FARM_000128,Northwest,Katsina,Sudan Savanna,Beans,IT89KD-288,Sandy,0.5,5.9,33.0,20.6,59.4,1829.4,31.3,Urea,137.9,Drip,Pod Borers,High,Normal,Moderate,Drought,Low,Moderate,1588.0
FARM_000129,Southwest,Ogun,Humid Forest,Yam,D. alata,Lateritic,1.9,5.8,29.1,7.9,82.2,1903.9,22.9,NPK,130.6,Surface,Thrips,Moderate,Normal,Moderate,Drought,Medium,Moderate,8120.0
FARM_000130,Northcentral,Plateau,Northern Guinea Savanna,Beans,IT89KD-288,Loamy,0.5,5.5,18.1,17.8,97.3,600.0,26.3,NPK,24.0,Surface,Pod Borers,Moderate,Normal,Moderate,Drought,Medium,Moderate,561.0
FARM_000131,Southsouth,Bayelsa,Humid Forest,Cassava,TMS 30572,Sandy,2.7,5.9,12.5,23.0,107.8,1927.5,30.6,Organic,60.9,Surface,Fall Armyworm,Low,Normal,Moderate,Flood,Medium,Moderate,10161.0
